LIST.PRICE,SQFT,HOME.TYPE,BEDS,BATHS,LOT.SIZE,YEAR.BUILT,DAYS.ON.MARKET,PARKING.TYPE,ZIP
895,3040,Single Family Residential,4,2.5,54886,1961,349,1,80303
659,2920,Single Family Residential,3,2.75,38754,1966,81,1,80303
1840,3845,Single Family Residential,4,3.25,46609,2005,19,1,80303
335,928,Condo,2,1,NA,1982,31,1,80305
299,1044,Townhouse,2,1.5,NA,1972,24,1,80305
6499,5588,Single Family Residential,4,5,223463,2008,116,1,80303
1500,3934,Single Family Residential,4,3.5,40864,2014,130,1,80305
2790,7113,Single Family Residential,5,4.75,266152,1991,40,1,80303
479.9,2340,Single Family Residential,4,2.5,7204,1959,39,1,80305
1487.5,3857,Single Family Residential,4,2.75,10671,1995,37,1,80305
2795,6589,Single Family Residential,4,5,15682,1979,35,1,80305
140,621,Condo,1,1,NA,1972,75,1,80305
425,1834,Townhouse,3,1.75,NA,1969,24,1,80305
1965,6549,Single Family Residential,5,5.5,30928,2000,92,1,80303
410,1293,Single Family Residential,3,1,7928,1962,50,0,80305
1900,3602,Single Family Residential,4,2.5,14851,1967,42,1,80305
899.9,2648,Single Family Residential,3,2.5,12109,1974,67,1,80305
609.9,1266,Single Family Residential,3,2,4315,1976,12,1,80305
545,1796,Single Family Residential,4,2,6970,1962,45,1,80305
699.9,2076,Single Family Residential,4,2.25,7982,1961,24,0,80305
589,2052,Single Family Residential,5,2,6970,1963,18,1,80305
700,3136,Single Family Residential,4,2.75,11064,1972,135,1,80305
415,1320,Townhouse,3,1.75,1684,1978,5,1,80305
329.9,1064,Condo,2,1.5,NA,1978,3,1,80305
975,3362,Single Family Residential,3,3,7797,1977,3,1,80305
999.9,2360,Single Family Residential,3,1.75,6273,1950,121,1,80302
1849,2908,Single Family Residential,3,3,11097,1950,101,0,80302
3250,2436,Single Family Residential,3,1.75,92042,1951,158,1,80302
3875,5769,Single Family Residential,5,5.5,19471,2012,174,1,80302
345,1094,Condo,2,2,NA,2004,107,1,80303
339,1094,Condo,2,2,NA,2004,128,1,80303
349,1094,Condo,2,2,NA,2004,89,1,80303
162.9,676,Condo,1,1,NA,1974,87,0,80303
255,954,Condo,2,2,26,1990,17,1,80303
824,4430,Single Family Residential,5,3.75,33106,1966,24,1,80303
629.5,3276,Single Family Residential,3,3,3790,1987,75,1,80303
699.9,1769,Single Family Residential,3,2.75,7125,1952,38,1,80302
679,2883,Single Family Residential,5,3.25,5965,1989,19,1,80303
375,2220,Condo,4,3,30928,1984,34,1,80303
485,1882,Single Family Residential,4,1.75,8741,1969,18,1,80303
172.9,736,Condo,1,1,26,1993,23,0,80303
229.9,1128,Condo,2,2,1128,1972,22,1,80303
998,3359,Single Family Residential,4,3.5,11069,1963,26,1,80302
1199.9,3426,Single Family Residential,5,3,5837,1996,32,1,80302
949,4139,Single Family Residential,5,3.75,7980,1991,24,1,80303
998,3173,Single Family Residential,4,3,14088,1941,47,1,80302
479,1326,Single Family Residential,4,1,7405,1955,31,0,80305
485,1850,Single Family Residential,4,2,7439,1966,59,1,80303
1850,5353,Single Family Residential,4,4.25,33585,2008,354,1,80303
519,2050,Single Family Residential,4,2,7774,1960,30,1,80305
1095,4386,Single Family Residential,6,3.75,65340,1961,37,1,80303
675,3251,Single Family Residential,5,2.5,49658,1972,108,1,80303
899,2892,Single Family Residential,3,1.75,115434,1964,70,1,80303
565,2066,Single Family Residential,3,1.5,8233,1962,61,1,80305
1700,4176,Single Family Residential,3,2.75,12371,1923,398,1,80302
339.9,1094,Condo,1,1.5,119661,2004,334,1,80303
469.9,1872,Single Family Residential,5,1.75,6881,1961,46,1,80305
559.9,1976,Single Family Residential,4,2.25,12454,1968,60,1,80303
1895,7333,Single Family Residential,5,4.5,12500,2007,295,1,80302
162.4,620,Condo,1,1,31308,1963,173,1,80302
1050,3124,Single Family Residential,5,3.25,9931,1970,100,1,80305
575.7,2354,Single Family Residential,4,2.75,14898,1961,215,1,80303
710,2650,Single Family Residential,3,2.25,61725,1962,52,1,80303
225,864,Condo,2,2,NA,1984,26,0,80303
524.9,2112,Single Family Residential,4,2.25,7472,1974,86,1,80303
205,864,Condo,2,1,48,1969,11,0,80303
174.9,756,Condo,1,1,NA,1993,30,1,80303
2195,4305,Single Family Residential,6,3.5,11880,1954,62,1,80302
139.999,676,Condo,1,1,26,1974,89,1,80303
439.9,1426,Single Family Residential,3,1.75,6974,1960,5,1,80305
184.9,888,Condo,2,1.75,NA,1976,4,0,80303
678,3156,Single Family Residential,4,2,9148,1955,3,1,80302
329,1176,Condo,2,1.75,NA,1969,3,1,80303
149.9,484,Condo,1,1,NA,1967,3,0,80305
1175,2813,Single Family Residential,3,2.5,11718,1955,3,1,80302
1650,4791,Single Family Residential,4,3.5,20909,1978,73,1,80305
257.5,945,Condo,1,1,NA,1998,32,1,80303
995,2932,Single Family Residential,4,3.5,9627,1941,143,1,80302
2195,4801,Single Family Residential,4,4,8188,1999,11,1,80302
550,1839,Single Family Residential,3,1.75,6970,1958,2,1,80305
559.9,2054,Single Family Residential,4,1.75,9895,1962,1,1,80303
181.999,1164,Condo,2,2,NA,2001,87,1,80302
269,962,Condo,2,1.5,NA,1967,96,1,80302
1389,2122,Condo,2,2.25,27037,2009,170,1,80303
287.9,913,Condo,2,2,NA,1985,74,1,80303
240,439,Condo,1,1,NA,1985,14,1,80302
642.5,1993,Condo,3,2.5,NA,2009,14,1,80303
128.9,570,Condo,1,1,NA,1969,14,1,80303
138.5,570,Condo,1,1,100,1969,43,0,80303
173.994,1216,Condo,3,2,NA,2003,39,1,80303
292,1178,Condo,3,1.5,NA,1969,67,1,80303
235,672,Condo,1,0.75,NA,1967,38,1,80302
120,570,Condo,1,1,NA,1969,37,1,80303
437.9,1338,Condo,2,3,81969,2009,75,1,80303
577.5,1920,Single Family Residential,3,2,3460,1926,24,0,80302
580,1312,Single Family Residential,3,1,43560,1956,93,1,80303
437.9,1338,Condo,2,2.5,NA,2009,81,1,80303
234.75,466,Condo,1,1,NA,1985,75,1,80302
320,1250,Condo,2,2,NA,1986,124,1,80303
575,1406,Single Family Residential,3,1.5,3225,1911,47,1,80302
235.75,466,Condo,1,1,22234,1985,72,1,80302
270,833,Condo,2,1,NA,1984,9,1,80303
235,560,Condo,1,1,25,1988,73,1,80302
425,1280,Condo,2,2.5,NA,2008,81,1,80303
469.9,1440,Condo,3,2.5,NA,2003,4,1,80303
449.9,2688,Single Family Residential,3,1.75,6978,1968,4,0,80303
224,542,Condo,1,1,26,1988,3,0,80302
217,1102,Townhouse,2,1.5,NA,1969,3,1,80303
749,3873,Single Family Residential,4,3.25,8868,1983,49,1,80303
419,1420,Townhouse,2,1.75,1060,1997,2,1,80303
749,2071,Single Family Residential,3,1.5,40474,1958,2,1,80303
134.9,589,Condo,1,1,NA,1969,6,1,80303
849,1938,Single Family Residential,3,1.5,6365,1905,22,1,80302
885,1188,Condo,1,1,30758,2008,312,1,80302
3750,4410,Condo,3,4,NA,2008,131,1,80302
2300,4382,Single Family Residential,4,3.5,12863,1904,102,1,80302
449,1086,Condo,2,1.75,NA,2006,108,1,80303
579,1232,Single Family Residential,3,2.25,12102,2008,17,1,80302
300,842,Condo,1,1,NA,2006,31,1,80303
799,3234,Single Family Residential,5,2.75,5770,1923,16,1,80302
2125,3882,Single Family Residential,3,3.5,12545,2001,109,1,80302
539.5,1399,Condo,2,2,NA,2006,38,1,80303
